Planning Authority ,Site Code,Site Name,Address,East,North,Site Type,Location of Site,Datazone,lon,lat
Glasgow City,4494,FORMER MCVITIES FACTORY,TOLLCROSS ROAD RATTRAY STREET,263291,663403,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010059,-4.184918933354743,55.844405248210535
Glasgow City,4495,FORMER STONEDYKE PRIMARY SCHOOL,CLOAN AVENUE,252958,670894,Derelict,"Site in settlement with population equal to or over 2,000",S01010490,-4.353861695523187,55.90861431249082
Glasgow City,4496,APPLEBY STREET,APPLEBY STREET/ CALDARVAN STREET BONHILL ST,258704,667324,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010309,-4.2601579369027265,55.87828540183136
Glasgow City,4497,GREENFIELD SCHOOL,UIST STREET NIMMO DRIVE,254669,665223,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01009840,-4.323470669715346,55.85822312543068
Glasgow City,4498,CROSSMYLOOF CARE HOME,80 TITWOOD ROAD,257222,662498,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01009911,-4.281284909349139,55.834521718161305
Glasgow City,4499,FORMER JANITORS HOUSE,NETHAN STREET HARHILL STREET,255125,665547,Derelict,"Site in settlement with population equal to or over 2,000",S01009843,-4.316365195687748,55.86126912110744
Glasgow City,4500,LIGHTBURN ROAD,MYRESIDE ST PENICUIK WAY,262541,664732,Derelict,"Site in settlement with population equal to or over 2,000",S01010148,-4.197560702263298,55.85612418453453
Glasgow City,4501,FORMER BUS DEPOT,TOLLCROSS RD GLAMIS RD,262768,663920,Derelict,"Site in settlement with population equal to or over 2,000",S01010060,-4.193526313342331,55.84889848428439
Glasgow City,4502,CARNTYNE RD,CARNTYNE ROAD TODD ST,262427,664828,Derelict,"Site in settlement with population equal to or over 2,000",S01010148,-4.199429126526601,55.8569535742833
Glasgow City,4503,FORMER SOCIAL CARE FACILITY,WARDIE ROAD SHANDWICK STREET,267454,665794,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010122,-4.119653513294032,55.86703568692387
Glasgow City,4504,FORMER ST PHILIP'S CHURCH,BOGHALL STREET DRUMLOCHY ROAD,264625,666364,Derelict,"Site in settlement with population equal to or over 2,000",S01010177,-4.165109796148501,55.871366842504706
Glasgow City,4505,WHITEINCH BURGH HALLS,35 INCHLEE STREET,254050,667054,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010424,-4.33433724634866,55.87447373839061
Glasgow City,4506,FORMER VICTORIA’S NIGHTCLUB,94 SAUCHIEHALL STREET,258901,665815,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010275,-4.256225601797985,55.864795517044186
Glasgow City,4507,GLASGOW SCHOOL OF ART/ABC,300 SAUCHIEHALL STREET,258431,665950,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010271,-4.263799792143772,55.86586967676471
Glasgow City,499,CANAL BASIN,SOUTH OF NORTH CANAL BANK STREET.,259462,666597,Derelict,"Site in settlement with population equal to or over 2,000",S01010297,-4.247674691073215,55.87198021861627
Glasgow City,502,,WELLFIELD STREET CROFTBANK STREET EDGEFAULD RD.,261044,667747,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010211,-4.2230026119138175,55.88276394735379
Glasgow City,505,EASTFIELD,WEST OF 915 SPRINGBURN RD,260259,668564,Derelict,"Site in settlement with population equal to or over 2,000",S01010215,-4.23596325493387,55.889871810478425
Glasgow City,506,,EAST OF 20 BYSHOT ROAD,259895,667605,Derelict,"Site in settlement with population equal to or over 2,000",S01010224,-4.241281940327963,55.881156147213886
Glasgow City,511,,CRAIGHALL STREET BORRON STREET.,259047,666920,Derelict,"Site in settlement with population equal to or over 2,000",S01010220,-4.254469632762845,55.874758835473315
Glasgow City,513,,MASTERTON STREET KEPPOCHHILL ROAD,259431,667114,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010221,-4.248438065962245,55.8766127684339
Glasgow City,529,,W OF DARNICK ST,261387,666722,Derelict,"Site in settlement with population equal to or over 2,000",S01010229,-4.216999064804674,55.873660227345866
Glasgow City,539,,WEST OF 135 BALORNOCK ROAD,261475,668941,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010209,-4.2167295063137535,55.89360799374881
Glasgow City,542,,NORTH OF PETERSHILL DRIVE,262053,667534,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010202,-4.20677711441503,55.881141702614045
Glasgow City,546,,W OF STATION RD,264303,667898,Derelict,"Site in settlement with population equal to or over 2,000",S01010188,-4.1710206594906545,55.88504911809147
Glasgow City,547,,REAR OF NO 1535- 1553 CUMBERNAULD ROAD,264188,667652,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010188,-4.172734280195869,55.88280801214376
Glasgow City,549,NOVA TECH PARK,ROBROYSTON BUSINESS PARK/ N OF THE M8.,263503,668326,Derelict,"Site in settlement with population equal to or over 2,000",S01010188,-4.1840160955968395,55.88866570945365
Glasgow City,551,,WEST OF 90 STATION ROAD,264023,667968,Derelict,"Site in settlement with population equal to or over 2,000",S01010188,-4.175528690797329,55.88559861028256
Glasgow City,554,,WEST OF NO 71 ROBROYSTON ROAD.,262860,667336,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010184,-4.193786865352442,55.87959450136443
Glasgow City,556,,SOUTH OF 63 EARNOCK STREET,262473,667467,Derelict,"Site in settlement with population equal to or over 2,000",S01010184,-4.200034579369307,55.880660289930475
Glasgow City,574,,SOUTH OF NO 272 -396 WALLACEWELL ROAD.,262622,668754,Derelict,"Site in settlement with population equal to or over 2,000",S01010196,-4.198308077231218,55.89225779672985
Glasgow City,589,,SOUTH OF 36 MOORFOOT ST,263187,664819,Derelict,"Site in settlement with population equal to or over 2,000",S01010149,-4.187292848129249,55.857089091464935
Glasgow City,591,,WEST OF DEE ST,262523,665891,Derelict,"Site in settlement with population equal to or over 2,000",S01010241,-4.198435920789452,55.86652485823708
Glasgow City,592,,SOUTH OF 10 CASTLELAW ST,262669,665505,Derelict,"Site in settlement with population equal to or over 2,000",S01010152,-4.195909156771556,55.86310088084395
Glasgow City,615,C'MICAL WKS SITE,DUKE STREET / NETHERHOUSE ST,262026,664889,Derelict,"Site in settlement with population equal to or over 2,000",S01010245,-4.205861192152767,55.85738662578043
Glasgow City,616,,WEST OF NO 83 TODD STREET.,262331,665011,Derelict,"Site in settlement with population equal to or over 2,000",S01010245,-4.2010544787080795,55.85856918434222
Glasgow City,626,,WEST OF 5 FLEMING STREET,261851,664917,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010244,-4.208668948246545,55.85758788897469
Glasgow City,627,,CRAIGMORE STREET,262270,664807,Derelict,"Site in settlement with population equal to or over 2,000",S01010148,-4.201924598507346,55.85672019452583
Glasgow City,628,,W OF 24 TODD ST,262300,664881,Derelict,"Site in settlement with population equal to or over 2,000",S01010148,-4.201483307736025,55.85739315637272
Glasgow City,658,,CHARLOTTE ST/ LONDON ROAD/ GREENDYKE ST,259871,664559,Derelict,"Site in settlement with population equal to or over 2,000",S01010039,-4.240089823842118,55.85380219288467
Glasgow City,664,,FIELDEN ST / CROWNPOINT ST,261492,664372,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010245,-4.21412118916083,55.852591753133865
Glasgow City,669,,BIGGAR ST NORTH,262134,664740,Derelict,"Site in settlement with population equal to or over 2,000",S01010245,-4.2040614358940465,55.85607977252008
Glasgow City,704,DALMARNOCK RIVERSIDE,SOUTH OF STRATH- CLYDE ST/WEST OF DALMARNOCK RD,261624,662762,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010046,-4.211193196402089,55.838174749508234
Glasgow City,712,,WEST OF 140 POPLIN STREET,260931,663243,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010046,-4.222496336072168,55.84229393175243
Glasgow City,713,,S OF FRENCH ST/ E OF MARTIN ST/ N OF COLVEND,260959,663123,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010046,-4.221988070543853,55.841224627401786
Glasgow City,728,PARKHEAD FORGE 3,SOUTH OF 279 SHETTLESTON ROAD,262958,664388,Derelict,"Site in settlement with population equal to or over 2,000",S01010148,-4.1907304964241,55.853154381827466
Glasgow City,788,,CARNTYNEHALL RD OLD SHETT.ROAD,263663,664447,Derelict,"Site in settlement with population equal to or over 2,000",S01010147,-4.179507417903128,55.853884009879884
Glasgow City,79,,S OF CLYDEHOLM ROAD,253764,666587,Derelict,"Site in settlement with population equal to or over 2,000",S01010424,-4.338652063490928,55.87019456845151
Glasgow City,812,,E OF BRAIDFAULD STREET,263927,662962,Derelict,"Site in settlement with population equal to or over 2,000",S01010064,-4.174548618315239,55.84062564597843
Glasgow City,827,,NORTH OF 3 GRANTLEA GROVE,265723,663770,Derelict,"Site in settlement with population equal to or over 2,000",S01010081,-4.146290594229262,55.84838374082173
Glasgow City,828,KENMUIR TIP.,SOUTH OF 85 HAMILTON ROAD.,265313,662672,Derelict,"Site in settlement with population equal to or over 2,000",S01010074,-4.1522890248384074,55.8384109211755
Glasgow City,850,,MOSSVALE ROAD/ MOSSVALE CRES.,265026,666752,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010169,-4.15889958994278,55.87496301433915
Glasgow City,852,,COLTNESS ST / SUMMERLEE ST,265290,665594,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010129,-4.154107473533424,55.864639804749956
Glasgow City,853,QUEENS IND EST.,SUMMERLEE STREET,265280,665424,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010129,-4.154182619114501,55.8631106603444
Glasgow City,855,,NORTH OF COLTNESS LANE,265715,665477,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010129,-4.147263774275232,55.863707942473
Glasgow City,897,,N OF HAMILTON RD,268034,662325,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010091,-4.108704079186984,55.836047442891484
Glasgow City,904,,E OF KENMUIR RD,265891,661937,Derelict,Site in countryside,S01010091,-4.142703536156617,55.83197268716918
Glasgow City,911,B'GY MINNIE POND,WEST OF 40 GARDENSIDE PL,264568,661502,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010071,-4.16359226127535,55.827697452350534
Glasgow City,917,,NORTH OF 11 BUCKINGHAM DR.,264800,662029,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010071,-4.160153975971991,55.83249420259815
Highland,101 AVM13,CAR PARK,ADJ SCANDINAVIAN VILLAGE AVIEMORE,289327,812658,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010537,-3.83296113356796,57.191316846456324
Highland,101 AVM18,ADJ TENNIS COURTS,CRAGGAN MORE ROAD AVIEMORE,290294,813466,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010539,-3.817325647360691,57.19880394782395
Highland,101 AVM31,FORMER PETROL STATION,EAST OF HIGHLAND LODGES ADJACENT B9152 AVIEMORE,289446,811928,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010537,-3.830668823646709,57.184791369838216
Highland,103 CBD10,FORMER INDUSTRIAL SITE,WEST OF A9 ADJ SAWMILL CARRBRIDGE,289745,822349,Derelict,"Site in settlement with population under 2,000",S01010541,-3.83035574052161,57.27842637877592
Highland,103 CBD9,RAILWAY SIDING,ADJ STATION N OF TRACK CARRBRIDGE,289950,822442,Vacant Land,"Site in settlement with population under 2,000",S01010541,-3.8269989140528784,57.27931080058765
Highland,107 KG6,FLAT AREA,ADJ RAILWAY MARKET LANE KINGUSSIE,275521,800352,Derelict,"Site in settlement with population under 2,000",S01010533,-4.0551190162991615,57.077301039503624
Highland,205 MUR2,GAP SITE AND SHED,BIGGINS MURKLE,316597,968294,Derelict,Site in countryside,S01010793,-3.4365997563648327,58.59458339842904
Highland,210 BRU1,OLD BRUAN CHURCH,W SIDE OF A99 BRUAN,331350,939573,Derelict,Site in countryside,S01010773,-3.1742214886544566,58.339276465006265
Highland,213 TH30,FORMER AUCTION MART,THURSO,311151,967732,Derelict,"Site in settlement with population equal to or over 2,000",S01010805,-3.530036430664867,58.588457032883376
Highland,215 WK21,FORMER GARAGE,FRANCIS STREET/LOCH STREET WICK,336262,950391,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010779,-3.093347257689419,58.437160038189056
Highland,215 WK25,FORMER RAF CAMP,NORTH OF AIRPORT WICK,336382,953169,Derelict,"Site in settlement with population equal to or over 2,000",S01010788,-3.092065369302501,58.4621226549391
Highland,215 WK27,NORTH EAST OF ELZY ROAD,STAXIGOE WICK,338466,952413,Derelict,"Site in settlement with population under 2,000",S01010786,-3.05615085661687,58.45563320321468
Highland,215 WK3,SOUTH OF THE SHORE,SCALESBURN WICK,336667,951040,Derelict,"Site in settlement with population equal to or over 2,000",S01010782,-3.086591898175102,58.44304673052892
Highland,215 WK31,STATION YARD,WICK,335949,950875,Derelict,"Site in settlement with population equal to or over 2,000",S01010781,-3.0988423714118594,58.44146029511448
Highland,215 WK34,HANGER BUILDINGS AND LAND,WICK AIRPORT WICK,336430,952109,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010788,-3.09094800467577,58.45261137512927
Highland,215 WK35,NORTH EAST OF WICK INDUSTRIAL ESTATE,WICK,336590,952104,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.0882056612268016,58.452589769711956
Highland,215 WK38,EAST OF WELLINGTON CENTRE,WICK INDUSTRIAL ESTATE WICK,336434,951730,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.090774108299445,58.44920871978579
Highland,215 WK39,WEST SIDE OF WICK INDUSTRIAL ESTATE,WICK,336224,951894,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.0944170039588315,58.45065070574104
Highland,215 WK3A,SOUTH OF THE SHORE,SCALESBURN WICK,336685,951006,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010782,-3.0862742133975156,58.44274403854027
Highland,215 WK4,BLACK ROCK/THE SHORE,WICK,336928,950976,Derelict,"Site in settlement with population equal to or over 2,000",S01010782,-3.082104271170363,58.44250984843043
Highland,215 WK45,WEST OF CLAYMORE DAIRY,RAILWAY STATION WICK,335927,950948,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010781,-3.0992395774129045,58.442112569153934
Highland,215 WK54,LOCHSHELL FARM,WICK,335319,952768,Derelict,"Site in settlement with population equal to or over 2,000",S01010788,-3.1101668869117414,58.45836548634153
Highland,215 WK55A,WICK BUSINESS PARK A,LOCHSHELL WICK,335422,952653,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.1083696233142555,58.45734811505327
Highland,215 WK55C,WICK BUSINESS PARK C,LOCHSHELL WICK,335481,952674,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.107364694679912,58.457545417289936
Highland,215 WK57,NORTH WEST WICK INDUSTRIAL ESTATE,WICK,336253,951971,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.0939417032262804,58.451346367521786
Highland,215 WK58,WEST OF WELLINGTON CENTRE,WICK INDUSTRIAL ESTATE WICK,336308,951788,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.0929485562121797,58.44971115149092
Highland,215 WK59,WEST OF UNIT 11,NORTH OF WELLINGTON CENTRE WICK INDUSTRIAL ESTATE WICK,336371,951862,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.091889987825107,58.45038483073421
Highland,215 WK60,NORTH & WEST OF MORVEN HOUSE,WICK INDUSTRIAL ESTATE WICK,336496,951796,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.089730420864026,58.44981039942171
Highland,215 WK61,SOUTH OF HGV TESTING STATION,WICK INDUSTRIAL ESTATE WICK,336479,951940,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.090061630692932,58.45110097543724
Highland,215 WK62,UNIT 35A AND LAND TO EAST,WICK INDUSTRIAL ESTATE WICK,336501,952058,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.089717539821527,58.45216376265805
Highland,215 WK63,UNIT 40 AND ADJOINING LAND,WICK INDUSTRIAL ESTATE WICK,336550,952006,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010788,-3.088863700543579,58.451703958726725
Highland,215 WK78,RUTHERFORD STREET SOUTH,WICK,336691,950112,Derelict,"Site in settlement with population equal to or over 2,000",S01010779,-3.085924105751644,58.43471718959309
Highland,215 WK80,NORTH OF COASTGUARD HOUSES,WELLINGTON AVENUE WICK,337399,949891,Derelict,"Site in settlement with population equal to or over 2,000",S01010777,-3.0737410319433454,58.4328348291667
Highland,215 WK85,FORMER PENTLAND AUTO'S SITE,GEORGE STREET/ROBERT STREET WICK,336088,951424,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010782,-3.096615319522993,58.44641043061813
Highland,215 WK9,HARBOUR TERRACE,WICK,336753,950484,Derelict,"Site in settlement with population equal to or over 2,000",S01010776,-3.084965330369646,58.438066574856826
Highland,301 ARD19,ARDERSIER INDUSTRIAL ESTATE,B9092 ARDERSIER,278635,854634,Vacant Land and Buildings,"Site in settlement with population under 2,000",S01010570,-4.0304920137712665,57.56543236370601
Highland,310 TOR1,HILLHEAD SAND AND GRAVEL WORKINGS,TORNAGRAIN,277379,850302,Derelict,Site in countryside,S01010568,-4.049287821367067,57.526206221058
Highland,319 INV113,GATEWAY RESORT SITE,NORTH LONGMAN INVERNESS,267372,846951,Derelict,"Site in settlement with population equal to or over 2,000",S01010619,-4.214432454808251,57.493305978512446
Highland,319 INV114,NORTH LONGMAN,SEA FRONT ADJ TO A9(T) INVERNESS,267949,846487,Derelict,"Site in settlement with population equal to or over 2,000",S01010619,-4.204562745006664,57.48930972259383
Highland,319 INV186,NORTH OF STADIUM,LONGMAN INDUSTRIAL ESTATE INVERNESS,267007,847280,Derelict,"Site in settlement with population equal to or over 2,000",S01010619,-4.220696315373401,57.496152007319104
Highland,319 INV205,INVERNESS RETAIL PARK,LAND WEST INVERNESS RETAIL PARK INVERNESS,269357,845722,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010619,-4.180684144626593,57.48285121342218
Highland,319 INV206,VIEWHILL HOUSE,VIEWHILL HOUSE INVERNESS  IV2 3HF INVERNESS,266711,844878,Derelict,"Site in settlement with population equal to or over 2,000",S01010627,-4.224319238337349,57.47450527263109
Highland,327 TOM1,LITTLE CHEF CAF?Ë & FILLING ST,CLOSE TO A9 TOMATIN,279554,830056,Derelict,"Site in settlement with population under 2,000",S01010566,-4.003033864811445,57.34504064043325
Highland,405 SBA2,FORMER RAILWAY YARD,WEST LAROCH BALLACHULISH,208244,758437,Vacant Land,"Site in settlement with population under 2,000",S01010526,-5.13176469642858,56.678235001763504
Highland,407 FW10,REFUSE TIP,ALUMINIUM WORKS FORT WILLIAM,212886,775287,Derelict,"Site in settlement with population equal to or over 2,000",S01010509,-5.068426869969838,56.831272868014565
Highland,407 FW11,REFUSE TIP,ALUMINIUM WORKS FORT WILLIAM,212521,775212,Derelict,"Site in settlement with population equal to or over 2,000",S01010509,-5.074344300385589,56.8304530032818
Highland,407 FW23,NEAR ALUMINIUM WORKS,FORT WILLIAM,212304,774886,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010509,-5.077654957595333,56.82744104777647
Highland,407 FW24A,NR BEN NEVIS HOTEL,A82(T) FORT WILLIAM,211658,774740,Derelict,"Site in settlement with population equal to or over 2,000",S01010509,-5.088116569175914,56.82587009953591
Highland,407 FW60,ADJ TO CARMICHAEL WAY,FORT WILLIAM,210673,774516,Derelict,"Site in settlement with population equal to or over 2,000",S01010522,-5.1040653272993435,56.82346068279079
Highland,407 TOR1,BRICK WORKS,L SIDE OF C52 N FROM A82 E OF FT WILLIAM TORLUNDY,214252,777234,Derelict,"Site in settlement with population under 2,000",S01010509,-5.047494206734356,56.84928679632427
Highland,417 MAL3,FORMER GARAGE,GLASNACARDOCH MALLAIG,167571,795366,Derelict,Site in countryside,S01010506,-5.827854055891045,56.99080927891604
Highland,606 MEL1,WARTIME CAMP,LOCHEWE COVE MELLONCHARLES,184097,891075,Derelict,"Site in settlement with population under 2,000",S01010694,-5.640732039988894,57.85684721996562
Highland,606 MEL2,FISH FARM,ADJ TO PERFUME FACTORY ON THE COAST LINE MELLONCHARLES,184297,891729,Derelict,"Site in settlement with population under 2,000",S01010694,-5.6379609316399515,57.86280614563708
Highland,609 CB11,ADJ TO DEPOT,HIGH STREET CONON BRIDGE,254241,855804,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010708,-4.438597592399042,57.568722099927676
Highland,609 CB22,PESCANOVA FACTORY,HIGH STREET CONON BRIDGE,254245,855879,Derelict,"Site in settlement with population equal to or over 2,000",S01010708,-4.438575816211837,57.56939646004442
Highland,609 CB24,FORMER PETROL FILLING STATION,HIGH STREET CONON BRIDGE,254285,855626,Derelict,"Site in settlement with population equal to or over 2,000",S01010708,-4.437755883178764,57.56713887306988
Highland,613 DWL102,DINGWALL DLO WORKSHOPS & YARD,HIGHLAND COUCIL STORE TULLOCH STREET IV15 9JZ DINGWALL,255022,859037,Derelict,"Site in settlement with population equal to or over 2,000",S01010716,-4.427486092993829,57.59798737261847
Highland,613 DWL33,RECREATIONAL AREA,RIVERSIDE INDUSTRIAL ESTATE DINGWALL,255322,859162,Derelict,"Site in settlement with population equal to or over 2,000",S01010714,-4.422546151912214,57.59920543910881
Highland,613 DWL35,EAST OF COMMUNITY CENTRE,TULLOCH STREET DINGWALL,255104,858983,Derelict,"Site in settlement with population equal to or over 2,000",S01010716,-4.426083151144556,57.59752909528862
Highland,613 DWL36,EAST OF GORDON COTTAGE,MILL STREET DINGWALL,254481,859144,Derelict,"Site in settlement with population equal to or over 2,000",S01010715,-4.436593241320003,57.59877349592323
Highland,619 CHA1,SEAFOOD FACTORY,ADJ HARBOUR HOUSE GAIRLOCH PIER CHARLESTOWN,180677,875052,Derelict,"Site in settlement with population under 2,000",S01010687,-5.683564379402176,57.71156104064119
Highland,622 IVD2,EX CAMP SITE,MIDTOWN INVERASDALE,181790,886105,Derelict,Site in countryside,S01010686,-5.674981329339836,57.81117839688416
Highland,623 IG13,CROMLET,OIL DEPOT INVERGORDON,270537,868849,Derelict,"Site in settlement with population equal to or over 2,000",S01010742,-4.17336855687933,57.69077654464713
Highland,623 IG14,ALUMINIUM WORKS,OFF B817 INVERGORDON,271470,870658,Derelict,"Site in settlement with population equal to or over 2,000",S01010744,-4.158696667104951,57.7072815148387
Highland,623 IG14A,ALUMINIUM WORKS,OFF B817 INVERGORDON,271441,870388,Derelict,"Site in settlement with population equal to or over 2,000",S01010744,-4.159038654758776,57.70484974596452
Highland,623 IG25,OIL DEPOT,ADJ TO RAILWAY LINE INVERGORDON,271203,868945,Derelict,"Site in settlement with population equal to or over 2,000",S01010745,-4.162257070777483,57.69182949505571
Highland,623 IG41,CROMARTY FIRTH INDUSTRIAL ESTATE SITE 1,INVERGORDON,271109,870123,Vacant Land and Buildings,"Site in settlement with population equal to or over 2,000",S01010744,-4.164463497462951,57.7023760594154
Highland,623 IG42,CROMARTY FIRTH INDUSTRIAL ESTATE SITE 2,INVERGORDON,271211,870182,Derelict,"Site in settlement with population equal to or over 2,000",S01010744,-4.162784908518879,57.70293487308012
Highland,633 MUN 1,FORMER FARMHOUSE AND STEADING,GATESIDE MUNLOCHY,266264,853819,Derelict,Site in countryside,S01010724,-4.236675153001922,57.554624903428895
Highland,635 NIG1,SE OF FABRICATION YARD,NIGG,279616,868917,Derelict,Site in countryside,S01010746,-4.021217377505299,57.69390965775575
Highland,642 FEA1A,FEARN AIRFIELD,FEARN,284983,875526,Derelict,Site in countryside,S01010746,-3.934405375373954,57.75464437750736
Highland,642 FEA1B,FEARN AIRFIELD,FEARN,285218,876089,Derelict,Site in countryside,S01010746,-3.9307286212997496,57.75975865471946
Highland,642 FEA1C,FEARN AIRFIELD,FEARN,284948,876105,Derelict,Site in countryside,S01010746,-3.935271046169032,57.75983308689467
Highland,642 FEA1D,FEARN AIRFIELD,FEARN,284058,875755,Derelict,Site in countryside,S01010746,-3.950049511533,57.75646190961605
Highland,642 FEA1E,FEARN AIRFIELD,FEARN,283929,876219,Derelict,Site in countryside,S01010746,-3.952440598438838,57.76059382661302
Highland,642 FEA1F,FEARN AIRFIELD,FEARN,284279,875845,Derelict,Site in countryside,S01010746,-3.9463815541947094,57.75732691940596
Highland,646 TA21,FENDOM AIRFIELD,TAIN,283131,881747,Derelict,Site in countryside,S01010749,-3.9685436250173485,57.81001026442707
Highland,646 TA21A,FENDOM AIRFIELD,TAIN,282336,881163,Derelict,Site in countryside,S01010749,-3.9816265028015843,57.804559561995966
Highland,646 TA21B,FENDOM AIRFIELD,TAIN,282043,881401,Derelict,Site in countryside,S01010749,-3.9866709820886204,57.806618891532764
Highland,646 TA21C,FENDOM AIRFIELD,TAIN,282981,881326,Derelict,Site in countryside,S01010749,-3.9708601530698227,57.8061918581569
Highland,701 STF3,MARCONI YARD,MAIN STREET ON THE COAST STROMEFERRY,186616,834661,Derelict,"Site in settlement with population under 2,000",S01010671,-5.5486839026038375,57.35231230624938
Highland,703 BRO1,OLD TORRIN QUARRY,CNOC SLAPIN B8083 BROADFORD,157275,821335,Derelict,"Site in settlement with population under 2,000",S01010674,-6.022054545580843,57.218227063294975
Highland,706 DUN1,SAWMILL,NR DUNVEGAN CASTLE DUNVEGAN,124575,849540,Derelict,Site in countryside,S01010684,-6.593316512514701,57.452295282696575
Highland,709 KMG8,OLD CAMPSITE,SOUTH SIDE OF A855 S OF KENDRAM KILMALUAG,143955,873910,Derelict,Site in countryside,S01010683,-6.296983291347997,57.68192604513714
Highland,713 GSL1,FORMER QUARRY,ACHNAGART W SIDE OF A87 GLENSHIEL,196266,814839,Derelict,Site in countryside,S01010669,-5.372297843835698,57.17898096191011
Highland,719 PLN2,FORMER REFUSE TIP,S OF AIRSTRIP PLOCKTON,178998,832770,Derelict,Site in countryside,S01010671,-5.673329632929761,57.33173090449929
Highland,721 PO7,4 WOODPARK CROFT,PORTREE,147489,843965,Vacant Land,"Site in settlement with population equal to or over 2,000",S01010680,-6.206797074831395,57.41567403973675
Highland,725 STA1,LEALT QUARRY,A855 STAFFIN,151873,860595,Derelict,"Site in settlement with population under 2,000",S01010678,-6.150908748469148,57.56707593961602
Highland,727 UIG2,SMALL YARD,UIG INDUSTRIAL EST OPP FERRY TERMINAL UIG,138447,863715,Derelict,"Site in settlement with population under 2,000",S01010683,-6.378054309325061,57.58745310972171
Highland,727 UIG3,ADJACENT TO FERRY INN,UIG,139848,864020,Derelict,"Site in settlement with population under 2,000",S01010683,-6.355016858482438,57.59099370383456
Highland,804 BET1,DISUSED FILLING STATION,OPP FARR VIEW NR WAR MEMORIAL BETTYHILL,271122,962155,Derelict,"Site in settlement with population under 2,000",S01010811,-4.21492479827998,58.52837282654146
Highland,809 DOR1,FORMER DORNOCH ABBATOIR,FORMER DORNOCH ABBATOIR SHORE ROAD DORNOCH IV25 3LS DORNOCH,279713,889330,Vacant Land,"Site in settlement with population under 2,000",S01010761,-4.029854004503081,57.8771725360123
Highland,809 DOR1A,FORMER DORNOCH ABBATOIR,FORMER DORNOCH ABBATOIR SHORE ROAD DORNOCH IV25 3LS DORNOCH,279796,889415,Derelict,"Site in settlement with population under 2,000",S01010760,-4.028498497817897,57.877957882621764
Highland,815 KB3,OLD RUINS,NR FREE CHURCH KINLOCHBERVIE,221968,956356,Derelict,"Site in settlement with population under 2,000",S01010815,-5.053330263215925,58.45904621119361
Highland,820 MV1,MORVICH QUARRY,N SIDE OF A839 MORVICH ROGART,274321,901333,Derelict,Site in countryside,S01010764,-4.127064960761699,57.98342253559204
Highland,ARD_2013_1,THE PORT OF ARDERSIER,WHITENESS ARDERSIER ARDERSIER,280550,857948,Derelict,Site in countryside,S01010569,-4.000134047025124,57.595692264242196
